This file was created using the 202607 CRSP database.  It
contains a momentum factor, constructed from six value-weight portfolios formed
using independent sorts on size and prior return of NYSE, AMEX, and NASDAQ stocks
Mom    is the average of the returns on two (big and small) high prior return portfolios
minus the average of the returns on two low prior return portfolios.  The portfolios
are constructed monthly.  Big means a firm is above the median market cap on the NYSE
at the end of the previous month; small firms are below the median NYSE market cap.
Prior return is measured from month -12 to - 2.  Firms in the low prior return
portfolio are below the 30th NYSE percentile.  Those in the high portfolio are above
the 70th NYSE percentile.

Missing data are indicated by -99.99 or -999.

,Mom
192701,   0.57
192702,  -1.51
192703,   3.52
192704,   4.35
192705,   2.78
192706,   0.54
192707,   4.17
192708,   1.36
192709,   1.94
192710,  -0.90
192711,  -0.23
192712,   3.11
192801,  -0.45
192802,  -1.07
192803,   4.75
192804,  -5.85
192805,   2.64
192806,   1.69
192807,   2.54
192808,   3.68
192809,   3.49
192810,   5.17
192811,   1.87
192812,   1.44
192901,   2.43
192902,   3.07
192903,  -0.62
192904,   2.07
192905,  -2.19
192906,   8.31
192907,   2.96
192908,   4.40
192909,   2.96
192910,   2.44
192911,  -2.04
192912,   5.42
193001,  -5.46
193002,   1.12
193003,  -4.23
193004,   4.13
193005,  -0.76
193006,   5.84
193007,  -2.14
193008,   3.87
193009,  11.59
193010,   6.28
193011,  -1.34
193012,  12.51
193101, -11.10
193102, -13.58
193103,   9.71
193104,  10.97
193105,   9.22
193106, -17.54
193107,   8.37
193108,  -3.32
193109,   9.30
193110,   2.90
193111,   8.03
193112,  12.92
193201,  -9.94
193202,   1.48
193203,  10.04
193204,   7.65
193205,  12.54
193206,   1.92
193207, -45.63
193208, -52.61
193209,   2.46
193210,   4.62
193211,  -0.96
193212,   4.64
193301,  -2.44
193302,   4.60
193303,   4.24
193304, -17.05
193305,  -5.54
193306,   4.25
193307,  -0.35
193308,   7.54
193309,   1.64
193310,  -2.13
193311,   6.46
193312,   4.01
193401,  -3.48
193402,   0.09
193403,  -0.67
193404,  -4.81
193405,  -2.39
193406,  -0.79
193407,   8.80
193408,   2.56
193409,  -0.06
193410,   6.88
193411,   3.77
193412,   4.53
193501,   3.10
193502,  14.46
193503,   2.37
193504,  -4.75
193505,  -3.59
193506,   2.66
193507,  -4.79
193508,  -6.46
193509,   8.31
193510,   1.82
193511,  -7.14
193512,   3.70
193601,  -2.95
193602,   2.53
193603,   1.63
193604,  -7.67
193605,   2.50
193606,   0.56
193607,   2.49
193608,   0.60
193609,   1.41
193610,   1.12
193611,   2.04
193612,   2.13
193701,  -1.94
193702,   2.72
193703,   3.33
193704,  -3.54
193705,   0.57
193706,   0.78
193707,  -0.45
193708,  -1.86
193709,  -6.81
193710,  -1.46
193711,  -1.32
193712,   4.85
193801,  -1.74
193802,  -2.84
193803,  15.78
193804,  -9.85
193805,   6.98
193806, -24.87
193807,  -6.77
193808,   3.49
193809,   2.42
193810,  -7.53
193811,   3.32
193812,   2.31
193901,  -2.99
193902,   3.12
193903,  -1.86
193904,   2.73
193905,   3.52
193906,   2.24
193907,  -0.70
193908,   5.90
193909, -31.45
193910,   6.58
193911,  -0.29
193912,   5.42
194001,   1.74
194002,   1.67
194003,  -0.55
194004,   3.36
194005,   2.89
194006,  -2.46
194007,   1.06
194008,  -1.78
194009,  -0.06
194010,  -5.76
194011,   1.31
194012,   3.54
194101,  -4.75
194102,   1.07
194103,   2.46
194104,   3.03
194105,   2.61
194106,  -0.68
194107,  -1.51
194108,   0.18
194109,  -1.67
194110,   4.82
194111,   4.41
194112,   0.40
194201,  -3.63
194202,  -0.72
194203,  -0.26
194204,  -0.83
194205,  -4.77
194206,  -1.38
194207,   0.80
194208,  -0.08
194209,  -0.92
194210,  -4.41
194211,  -1.07
194212,   3.18
194301,  -0.30
194302,  -1.63
194303,   4.72
194304,   5.86
194305,   5.90
194306,  -1.32
194307,  -4.51
194308,   0.90
194309,   1.73
194310,  -0.69
194311,  -4.47
194312,   5.92
194401,   0.89
194402,   0.34
194403,   2.62
194404,   0.51
194405,   1.90
194406,  -5.79
194407,   0.14
194408,   4.74
194409,  -1.17
194410,  -1.32
194411,   1.36
194412,   3.35
194501,   0.03
194502,   3.20
194503,  -3.07
194504,   4.71
194505,   0.15
194506,   4.15
194507,  -2.68
194508,  -1.30
194509,   1.39
